,M1,meanK1,stdK1,meanI1,stdI1,M2,meanK2,stdK2,meanI2,stdI2
0,163,49739.503552906834,5103.647502420422,0.47162576687116564,0.29980823265715545,258,10479.20994126552,4368.505234866826,0.4275387596899225,0.2827590861961313
1,5626,49897.4068765153,5232.817698405061,0.3344680056878777,0.2681655279001382,5580,12340.263020931536,3255.770097239437,0.32237437275985664,0.24469450426723605
2,37070,51545.83055587665,4791.573489607037,0.16969865120043162,0.15441713667309814,11379,15474.780545626938,2481.1977207067703,0.18448035855523331,0.1653430903456821
3,47748,54632.772556147414,2872.872261929241,0.07844228030493423,0.07212432048766991,13874,17894.733252831284,1560.0310163783026,0.12569287876603719,0.1205888494382416
4,51842,55928.36645101305,2099.12839781754,0.05688019366536785,0.03352247815702862,16875,18796.037523281873,1022.3127113213618,0.07142471111111111,0.08383544569105322
5,48734,56780.82749602473,1898.3842282335188,0.05056430828579637,0.026419498543810996,14910,19391.58478769448,802.8142954635832,0.03462206572769953,0.046721361231274204
6,51149,57393.27649717053,1854.5166608900233,0.05391503255195605,0.026280482765160224,17984,19887.39092584531,265.7594507373712,0.036673932384341634,0.04088260804451818
7,41543,58407.13324346194,1701.6799399940787,0.056045085814698026,0.01778250623918554,18980,19965.49342807662,18.482375034567838,0.017941622760800843,0.005961320951796648
8,50619,59072.56349260576,1660.5634117055279,0.05830962681996879,0.01606553426382089,19501,19965.90610034593,17.112304310950332,0.017703297266806833,0.004613632408338243
9,55913,59691.391676807965,1748.1880264269346,0.05451794752562016,0.016746587969118352,19506,19968.50162366213,1.0215422550897366,0.017003844970778222,0.00031002324603712496
10,57520,59988.13207028543,1820.2065601988015,0.054265125173852576,0.015801862610476464,19483,19968.50160870573,1.0221449890319676,0.017003849509829083,0.00031020616703949773
11,54844,62425.75350104258,57.578246892608576,0.04300100284443147,0.00045662158307142837,19514,19968.501628856095,1.0213328583010488,0.01700384339448601,0.0003099596971512954
12,60412,62426.887737270015,12.390355238135664,0.04299784810964709,0.00040024740023930633,19483,19968.505836815504,0.8345993098858168,0.017002566339886057,0.00025328877577209566
13,60446,62426.864271279934,10.963108107843597,0.04299728683452999,0.00037547345226658077,19519,19968.50585241179,0.8338293447062783,0.017002561606639686,0.00025305510251667556
14,60390,62426.901378482915,13.775952034978314,0.042997781089584367,0.00043744077299639675,19520,19968.5058528442,0.8338079871934757,0.017002561475409836,0.0002530486208215588
15,60399,62426.86806244133,12.62548744720141,0.04299658934750575,0.0004291078391579965,19509,19968.505848085264,0.834043010138599,0.0170025629196781,0.00025311994687388534
16,60359,62426.88662838815,13.937878127075837,0.04299683560032472,0.0004575921360432826,19524,19968.505854573392,0.8337225735507151,0.017002560950624874,0.0002530226990208182
17,60358,62426.853295872366,12.802360156293156,0.0429956426654296,0.0004496604382021826,19510,19968.499633192485,1.2038121670209874,0.017003229113275245,0.0002696761627533598
18,60455,62426.81132964503,9.78228923573388,0.04299483913654784,0.00039704781590880995,19495,19968.49762731211,1.3625021136222422,0.017002616055398823,0.0002222452951827645
19,60375,62426.816183528026,9.713793467300645,0.042995146997929605,0.000389717314335418,19529,19968.488128116183,1.904163532313064,0.017003123559834094,0.00023329145033931163
20,60377,62426.806341380594,9.863006894111555,0.042994517779949316,0.00040475479495214963,19499,19968.492312500777,1.8120684677312373,0.017001846248525566,0.00014986805409072742
21,60387,62426.8378191658,14.256428169967101,0.04299443588851905,0.0004402144928300882,19505,19968.492319262285,1.8117897647063417,0.01700184568059472,0.00014984500392033992
22,60376,62426.74348591426,8.69981234614815,0.04299143699483238,0.0004387177424938924,19473,19968.492283152762,1.8132776688041472,0.01700184871360345,0.00014996806122418048
23,60402,62426.715148425916,6.621099816619775,0.04299056322638323,0.0004233351072380938,19504,19968.492318135653,1.8118362062802371,0.017001845775225597,0.0001498488448768301
24,60358,62426.719964226315,6.512238076538029,0.042990871135557836,0.0004163747837740142,19494,19968.49852728996,1.5907027360646107,0.017001179850210324,0.00011746673342049369
25,60392,62426.72004460893,6.510405511543736,0.04299087627500331,0.0004162576145544182,19489,19968.504745268016,1.3328970039695016,0.017000513109959467,7.163169406514919e-05
26,60391,62426.71020083831,6.731103789741746,0.04299024689109304,0.0004303684619749175,19533,19968.5047667753,1.3313949169188553,0.01700051195412891,7.155096986834277e-05
27,60432,62426.71522169549,6.619456959689781,0.04299056791104051,0.00042323006743596146,19504,19968.504752610945,1.3323843578290915,0.017000512715340445,7.160414376577558e-05
28,60367,62426.70521753235,6.840110240465076,0.042989928272069176,0.0004373380378436837,19514,19968.484541877384,2.494642101689042,0.017002152300912166,0.0001947275096684131
29,60426,62426.705371340024,6.83677179501787,0.04298993810611326,0.00043712458672520726,19517,19968.46013777285,4.22477667192313,0.017001280934569863,0.0002296177858065625
30,60373,62426.695388845634,7.050157229700182,0.0429892998525831,0.000450767870828482,19494,19968.469619195897,4.01179368058494,0.017000769467528473,0.00021830607315960135
31,60398,62426.68962029997,7.319424763597569,0.04298802940494718,0.0004901186825580922,19537,19968.469717520875,4.007376686573734,0.017000767773967345,0.00021806569089656504
32,60361,62426.67474473118,7.615150656703832,0.042987077748877583,0.0005082148333474753,19495,19968.47232708312,3.941139686720465,0.017000923313670174,0.00023559160674450785
33,60406,62426.665045818045,7.80175667496085,0.04298645829884448,0.0005196402977483872,19520,19968.489888108743,3.409709717938963,0.016999129098360658,0.00012167714604169701
34,60428,62426.65528241162,7.9852406691483075,0.04298583438141259,0.0005309036412213498,19492,19968.48985305139,3.4121578405196566,0.01699912784732198,0.00012176450848408085
35,60401,62426.655189674304,7.987024045379466,0.04298582804920448,0.0005310222057023516,19533,19968.48990435121,3.4085748793577992,0.016999129677980854,0.00012163664877618273
36,60417,62426.6650818123,7.801046861922975,0.0429864607643544,0.0005195930220101258,19506,19968.489870592646,3.410933120322089,0.01699912847329027,0.000121720803749465
37,60381,62426.65512092652,7.988345835431891,0.042985823355028895,0.0005311100824753141,19501,19968.489864330804,3.4113703689901067,0.016999128249833344,0.00012173640718038315
38,60408,62426.6943454473,8.989754270721493,0.042986673950470136,0.0005180898693797823,19514,19968.508942437482,0.7474384557638737,0.017000102490519628,1.4317158909988694e-05
39,60395,62426.69430919987,8.990721415678802,0.04298667108204321,0.0005181455897283397,19499,19968.508938321425,0.7477258915678217,0.017000102569362532,1.4322664733310745e-05
40,60400,62426.71870013614,10.11129458974887,0.04298657284768211,0.0005223226179526953,19511,19968.50894161478,0.7474959164060663,0.017000102506278512,1.4318259566690257e-05
41,60383,62426.71373822716,10.184699270497315,0.04298625440935362,0.0005280792820467239,19526,19968.503092223254,1.1078299710876864,0.017000358496363825,3.853760192159084e-05
42,60443,62426.70805266886,10.368813585442142,0.04298499412669788,0.0005618402203685973,19528,19968.50309337041,1.1077732421944528,0.017000358459647688,3.853562848716646e-05
43,60483,62426.74562793688,10.031121798576162,0.042985599259295994,0.0005744188033616946,19490,19968.497207219694,1.3782913830344083,0.01700061570035916,5.2634728789305e-05
44,60405,62426.73655515876,10.062089566912103,0.04298591176227133,0.0005578424342112591,19505,19968.497220359262,1.3777613591549611,0.01700061522686491,5.261448769008716e-05
45,60384,62426.7831799182,15.258004886079972,0.042987016428192894,0.0006210221392348723,19508,19968.497222984748,1.3776554277359758,0.017000615132253434,5.2610442271719945e-05
46,60426,62426.791244231696,18.620422303505308,0.042985718068381154,0.0007736525483076388,19506,19968.497221234513,1.3777260459669007,0.017000615195324517,5.261313911361063e-05
47,60422,62426.97720479522,26.685447826237393,0.0429897719373738,0.0008720998042125618,19528,19968.497746608784,1.3361532524722382,0.017000460876689882,4.110663351307994e-05
48,60442,62427.0187859817,30.91193146064158,0.04299129744217597,0.0009782416583789479,19520,19968.49773982746,1.3364269983456474,0.01700046106557377,4.111505551300388e-05
49,60470,62427.05677987241,34.23653128596498,0.042992988258640646,0.0010791727015564947,19491,19968.50307210995,1.1088241396322565,0.017000359140115953,3.857218617595355e-05
50,60410,62427.11744823136,34.93162108876955,0.0429920046349942,0.0010988424911181534,19505,19968.503080163933,1.1084261511298257,0.017000358882337863,3.855834130442637e-05
51,60402,62427.1093220045,34.316522174481044,0.0429920366875269,0.0010917812899590093,19500,19968.508431727867,0.818487005428396,0.01700025641025641,3.580574370197163e-05
52,60409,62427.21535617961,38.65730615934939,0.042990150474267075,0.0012181251804749217,19501,19968.506251117884,0.873278332688513,0.016999384646941184,0.0001268943868883044
53,60430,62427.288624390894,41.61844099675671,0.04299286778090352,0.0012909747469550426,19518,19968.50625812232,0.8728979538538428,0.016999385182908087,0.0001268391113893685
54,60455,62427.33589361259,42.130196331656876,0.04299229178727979,0.0013030194401630986,19516,19968.490318856653,2.3915474384056576,0.016998565279770447,0.00017089834048074047
55,60381,62427.24710259551,36.371961146261214,0.04298598897004024,0.001174548933941094,19534,19968.49034094815,2.390445368783757,0.016998566601822463,0.00017081958497885955
56,60395,62427.09453171152,28.653764640156588,0.042980958688633164,0.0010075887049665316,19496,19968.474339469987,3.269160851904336,0.01699774312679524,0.00020582697753738317
57,60424,62427.111485399786,29.103952568946738,0.042978386071759564,0.0010468856755589796,19507,19968.47043402789,3.313916973885492,0.016997077972010048,0.00022583491088059904
58,60396,62427.136897039956,29.434595667186983,0.04297923703556526,0.00103427448306052,19568,19968.452920399424,4.128242593866777,0.01699708708094849,0.00022548267547743938
59,60381,62427.18839411266,31.06323081412658,0.04297537304781305,0.0010830714281544705,19530,19968.452800985182,4.132256170495278,0.016997081413210446,0.0002257019070365382
60,60414,62427.34165374767,33.918136276583944,0.04297073526003906,0.0011442429981413224,19528,19968.452794687346,4.132467735777087,0.01699708111429742,0.00022571346326050857
61,60412,62427.55992110567,41.484432941867304,0.04297298549956962,0.0013278880569346978,19454,19968.47031453949,3.3184275204322313,0.016997070011308728,0.00022614229540323966
62,60370,62427.52810136938,38.85881370350146,0.04296864336591022,0.001288661210228958,19511,19968.48638554626,2.45391269528247,0.016997898621290555,0.00019461139549742005
63,60417,62427.73501565285,41.91563549399148,0.042966615356604926,0.0012972381381920926,19540,19968.490348302934,2.3900783506739685,0.0169985670419652,0.0001707933573303861
