,M1,meanK1,stdK1,meanI1,stdI1,M2,meanK2,stdK2,meanI2,stdI2
0,14,5039.793132688737,404.9982578600196,0.5731428571428572,0.24705242581059814,27,998.2618918684709,515.2740190027037,0.5559259259259259,0.3003743722969114
1,617,5041.596690115251,442.1090936730201,0.5067341977309562,0.1920735299898779,476,1186.0569304925539,383.0016433927844,0.373031512605042,0.2625747032643068
2,3268,5130.606115148729,439.9805549573222,0.4212781517747858,0.15567847120690015,1059,1633.986886595856,273.17770997632744,0.2229254013220019,0.17031100514983163
3,4059,5371.717790860887,375.5258565774028,0.3144550381867455,0.1254305630890775,1508,1858.0138977565964,88.49941851199415,0.11581366047745358,0.09062770354238121
4,4413,5424.3360745984,350.0591912651199,0.2843054611375482,0.12973148767188314,1772,1906.1999316988345,0.0,0.058,0.0
5,4395,5257.547566325693,135.42134215096266,0.2148368600682594,0.05783446790534703,1830,1906.1999316988345,0.0,0.058,0.0
6,4633,5271.584436382283,149.5346140816729,0.20977940859054608,0.06116789826350793,1826,1906.1999316988345,0.0,0.058,0.0
7,4367,5325.430045002861,274.57478682224996,0.1279823677581864,0.06133515170149863,1813,1906.1999316988345,0.0,0.058,0.0
8,3658,5512.340759069275,211.23437640310095,0.1493706943685074,0.06295156876925576,1821,1906.201542923965,0.0687560945182072,0.05796979681493685,0.001288865849680783
9,4482,5581.075939461012,198.6766284983961,0.14979763498438198,0.07301292780481004,1825,1906.1999316988345,0.0,0.058,0.0
10,5107,5604.389522139898,201.05435065989164,0.14272077540630507,0.0773669281023184,1829,1906.1999316988345,0.0,0.058,0.0
11,2896,5694.191229290582,289.9605228154619,0.041290055248618784,0.06379396984402064,1819,1906.1999316988345,0.0,0.058,0.0
12,5420,5789.235210514758,218.78769615955835,0.022121955719557197,0.011669910958873554,1823,1906.1999316988345,0.0,0.058,0.0
13,5776,5902.73002521438,17.094265662652386,0.021079293628808865,0.0023047357049745436,1829,1906.1999316988345,0.0,0.058,0.0
14,5790,5902.902819809235,17.236821549754097,0.02110259067357513,0.002323955813602869,1824,1906.1999316988345,0.0,0.058,0.0
15,5771,5903.1148162250165,17.407790537641596,0.02113117310691388,0.002347006720766935,1823,1906.1999316988345,0.0,0.058,0.0
16,5786,5903.3314972375465,17.578168244766662,0.021160387141375733,0.0023699779084559594,1831,1906.2283285527249,1.21510665384261,0.0580393227744402,0.0016826288241005966
17,5780,5903.432823353665,17.656368269694592,0.021174048442906573,0.0023805212329331884,1829,1906.2120491845906,1.4019968102864373,0.058018042646254785,0.0019151024494928168
18,5771,5903.245908897312,17.51139046715118,0.02114884768670941,0.0023609745893660087,1822,1906.1835586153957,0.6988832973252415,0.057978594950603736,0.0009136722204677375
19,5777,5903.514378638457,17.718637750824705,0.021185044140557382,0.0023889167205968886,1825,1906.1835855300533,0.6983086364381619,0.05797863013698631,0.0009129209481298186
20,5771,5903.592918912213,17.77804618839465,0.02119563333910934,0.002396926467838816,1825,1906.1835855300533,0.6983086364381619,0.05797863013698631,0.0009129209481298186
21,5772,5903.922912423841,18.021768835737795,0.021240124740124742,0.002429786392829329,1817,1906.1835135601302,0.6998442262780882,0.057978536048431485,0.000914928473254747
22,5785,5903.994554761784,18.07344776056858,0.021249783923941227,0.0024367540079116446,1807,1906.1834227015872,0.7017780355080141,0.057978417266187056,0.0009174566031726167
23,5775,5904.087666062461,18.139977570297845,0.021262337662337663,0.002445723894711942,1821,1906.1835496241363,0.699075166456468,0.05797858319604613,0.0009139230570463735
24,5780,5904.233943976946,18.52785889035154,0.021286851211072665,0.0025900765238471694,1831,1906.183639094779,0.6971635545476216,0.0579787001638449,0.0009114239463878233
25,5784,5904.350471893634,18.6072781398743,0.02130255878284924,0.0026003139693246964,1821,1906.1835496241363,0.699075166456468,0.05797858319604613,0.0009139230570463735
26,5772,5904.624913431646,18.79118030313491,0.02133957033957034,0.0026243611044976037,1826,1906.183594481953,0.6981173975912406,0.05797864184008763,0.0009126709355417727
27,5785,5904.989034060933,19.4272900130809,0.021386343993085567,0.0027634219538079942,1817,1906.1835135601302,0.6998442262780882,0.057978536048431485,0.000914928473254747
28,5779,5905.323118395495,19.630222124359676,0.021431389513756706,0.00278947317592492,1821,1906.1671675494379,0.9883699393722688,0.05795716639209226,0.001292127255875126
29,5793,5905.278230891706,19.47523669061792,0.021423096841015017,0.002715186141104896,1817,1906.1835135601302,0.6998442262780882,0.057978536048431485,0.000914928473254747
30,5765,5905.534372234979,19.76971323134891,0.0214601908065915,0.002784664613073927,1825,1906.1835855300533,0.6983086364381619,0.05797863013698631,0.0009129209481298186
31,5772,5905.850354677568,20.197216058544956,0.021497920997921,0.0028643742049883373,1817,1906.1835135601302,0.6998442262780882,0.057978536048431485,0.000914928473254747
32,5783,5905.952959592225,20.521935461734355,0.021516859761369533,0.0029633442063037455,1818,1906.1626691297454,1.131112598865666,0.05795214521452145,0.001450112749428743
33,5785,5906.183383578669,20.509839147753706,0.021545375972342264,0.002933104405495544,1823,1906.162771330977,1.129561194078685,0.057952276467361494,0.0014481238198125461
34,5789,5906.329213279487,20.585224898379035,0.021565037139402315,0.0029425730104931567,1820,1906.1627100776234,1.1304912702185828,0.057952197802197805,0.0014493161946210252
35,5779,5906.550152669056,20.96442998000048,0.021599930783872644,0.0030469682022285284,1815,1906.1252833786095,1.6000846557704578,0.05790413223140496,0.002051341966477395
36,5771,5906.61589499702,21.023834501274465,0.021618783573037603,0.003086542710390477,1823,1906.1048146973058,1.8260285740385747,0.05787822270981898,0.002334178522560136
37,5784,5906.781519052527,21.101768369356744,0.021641078838174274,0.003095541289023188,1821,1906.1415617081223,2.4120596375806342,0.057874794069192756,0.0023395140201388715
38,5789,5906.968094725216,21.575892276200452,0.021673864225254795,0.0032329574328295884,1827,1906.1414048444328,3.088621149497886,0.05782430213464697,0.0027485534366457755
39,5774,5907.072799057594,21.50045418821561,0.021685486664357465,0.0031983031775293944,1827,1906.1414048444328,3.088621149497886,0.05782430213464697,0.0027485534366457755
40,5781,5907.102941774141,21.408583604657494,0.021696938245978206,0.003190736912176491,1822,1906.120436553077,3.21747930199038,0.05779747530186608,0.0029716090588930827
41,5783,5907.519660673771,22.2240898503753,0.021765865467750303,0.0034149999213324194,1809,1906.1198652778448,3.2290187621213136,0.057796019900497514,0.002982223451791953
42,5774,5907.7168725599095,22.31007023062835,0.021792518184967094,0.0034254687664327186,1822,1906.1496229560983,3.4509244550934546,0.05784028540065862,0.003490988088168767
43,5784,5907.860152428175,22.488400979746604,0.021814315352697095,0.0034699015780820727,1824,1906.1544772980517,3.97008558629537,0.05768530701754386,0.003770963799917844
44,5784,5907.986782687214,22.41679442504018,0.02182883817427386,0.0034370037750089963,1815,1906.1683826264705,4.300248641514536,0.05769366391184573,0.00409491019316292
45,5784,5908.2868487585365,22.534822636531672,0.02186929460580913,0.003450526972261374,1815,1906.160748072077,4.333005913014919,0.05767107438016529,0.004076895356388884
46,5777,5908.45574888532,23.677287077605115,0.021885926951705038,0.0035534557002498413,1817,1906.1713765455854,5.014604344894423,0.057612548156301596,0.004537850719570191
