mean,0.1,10,2,5069.571428571428,989.7765110767043,0.7598571428571429,0.20757815840753693,1.4,14.2
mean,0.1,10,3,4746.4152123403355,978.9101132060975,0.70602096527891,0.23373835795440523,2.0,35.6
mean,0.1,10,6,5029.952380952381,1027.6708974090545,0.6911904761904762,0.23119605241548263,4.2,179.6
mean,0.1,10,10,4964.210526315789,1218.2734953312981,0.688421052631579,0.2553754449103057,3.8,668.6
mean,0.1,10,15,5068.2307692307695,6621.60562635517,0.5922692307692308,0.14239163881302708,5.2,5254.8
mean,0.1,10,25,5034.944444444444,9016.199628139178,0.6055833333333331,0.25177590428524405,7.2,8959.2
mean,0.1,10,39,4968.840909090909,9327.258755007786,0.5998636363636363,0.2421212913006277,8.8,9282.8
mean,0.1,10,63,4951.815789473684,9029.137740712373,0.5965263157894736,0.27193630964563437,7.6,8975.8
mean,0.1,10,100,4985.386363636364,8652.575135825286,0.5608409090909091,0.25069579230922756,8.8,8621.2
mean,0.1,10,158,5021.285714285715,8558.364533699825,0.5778571428571428,0.17026876128945406,11.2,8513.4
mean,0.1,10,251,5069.68,8525.939555308018,0.57382,0.17515169354380744,10.0,8488.4
mean,0.1,10,398,5017.048387096775,9320.592973343642,0.5413709677419354,0.1899337347623942,12.4,9280.6
mean,0.1,10,630,5041.7375,9298.233106442645,0.5418125,0.2705228562031449,16.0,9270.0
mean,0.1,10,1000,4956.222222222223,8279.452815673398,0.5866349206349205,0.19120533633586267,12.6,8251.6
mean,0.1,100,2,4983.975,1040.4435207527429,0.68025,0.2397357745866188,8.0,133.6
mean,0.1,100,3,5020.312211807909,1048.1696221530347,0.7211917684282855,0.23810850664532995,15.8,304.2
mean,0.1,100,6,5113.534547257804,1226.7977525809627,0.662426693414662,0.24443235333813282,29.8,835.0
mean,0.1,100,10,4995.192708333333,1411.675065319153,0.6515677083333333,0.23805729019088537,38.4,1220.2
mean,0.1,100,15,5025.276719406358,1727.1136737569173,0.6598871754783796,0.25156491740035414,53.0,1530.8
mean,0.1,100,25,4974.691756272401,9045.127293809936,0.6173835125448028,0.21838652920919327,55.8,8884.4
mean,0.1,100,39,5032.656050955414,9274.695448394164,0.6051942675159235,0.19359903161872832,62.8,9139.4
mean,0.1,100,63,4974.934065934066,9184.972126667448,0.5928351648351649,0.19353464563029252,72.8,9046.8
mean,0.1,100,100,4993.966191392921,8842.727717406979,0.596043325728267,0.1499768816653687,82.8,8688.2
mean,0.1,100,158,4998.176039119804,8390.045109554896,0.5791026894865526,0.18952538244248543,81.8,8242.4
mean,0.1,100,251,5016.372631578947,8618.082729139884,0.5829768421052631,0.04440975051856279,95.0,8504.0
mean,0.1,100,398,4993.786469344609,9130.246680088894,0.5806934460887949,0.16976215196726424,94.6,8974.6
mean,0.1,100,630,5041.019955654102,9614.765949853614,0.5800421286031042,0.08094305769773401,90.2,9492.8
mean,0.1,100,1000,5114.362922775634,8255.60133653005,0.5738444444444444,0.0445646470630117,108.0,8138.2
mean,0.1,1000,2,5053.792730752846,1191.3724878869787,0.7053253171215447,0.2447103133353762,88.6,837.6
mean,0.1,1000,3,4986.265676890708,1349.1878390747659,0.7051253450443432,0.24253557534828896,148.0,1028.4
mean,0.1,1000,6,5009.707606471584,1512.8108528560692,0.6836454441120882,0.23374300064242562,327.2,1216.8
mean,0.1,1000,10,5021.69055670056,1592.8637879361015,0.6602428348404984,0.23077886641445963,492.4,1256.2
mean,0.1,1000,15,5026.72451246198,1651.0442858382323,0.6439735159379554,0.21776523625707478,760.4,1265.2
mean,0.1,1000,25,5052.178097115342,1703.2289322907218,0.6266027173601861,0.19429248736100826,1331.6,1247.8
mean,0.1,1000,39,5097.134706360746,7523.578752152502,0.6072303765024977,0.04011785033426545,1133.8,4808.4
mean,0.1,1000,63,5046.903430182131,8367.814187433642,0.6218112774602678,0.030945141016999113,561.4,7390.4
mean,0.1,1000,100,5047.4035094679575,8365.46266355358,0.6122861228500742,0.03199670609147863,558.8,7400.6
mean,0.1,1000,158,5044.937771345875,8625.410854390197,0.6164526049204052,0.02709342395569178,552.8,7668.6
mean,0.1,1000,251,5055.357116721551,8252.451188202382,0.6132140504939627,0.02037114878456207,546.6,7313.6
mean,0.1,1000,398,5040.170284431138,9306.830202215238,0.6167799401197605,0.024982781302964857,534.4,8357.8
mean,0.1,1000,630,5034.683873398643,9371.333914920762,0.6130783722682743,0.0288945487226015,530.8,8414.6
mean,0.1,1000,1000,5081.090631727224,7958.776861046321,0.6106988539470607,0.026998499024354153,579.2,6987.6
med,0.1,10,2,5010.0,1005.9516695022843,0.781,0.204,1.0,15.0
med,0.1,10,3,4638.0,935.8243470823677,0.739,0.2195,1.0,36.0
med,0.1,10,6,4954.0,1035.0,0.709,0.2055,4.0,186.0
med,0.1,10,10,5116.0,1196.9360249893646,0.71,0.2569841660730347,3.0,676.0
med,0.1,10,15,5017.0,6494.469228945867,0.5854999999999999,0.13356696028367138,5.0,4964.0
med,0.1,10,25,5171.0,8897.437636853392,0.575,0.29588246014092473,8.0,8746.0
med,0.1,10,39,4961.5,9293.866163844956,0.5905,0.2098916219610366,10.0,9180.0
med,0.1,10,63,5029.0,9105.521279862012,0.556,0.30176580888469756,8.0,9049.0
med,0.1,10,100,4917.0,8607.546014826465,0.5365,0.24054767923298254,9.0,8551.0
med,0.1,10,158,5021.0,8418.388199294253,0.531,0.11714289813791035,11.0,8337.0
med,0.1,10,251,4953.5,8511.197080430828,0.5195000000000001,0.18182142140461488,8.0,8455.0
